period,year,quarter,bankruptcy,dro,iva,total_personal
1990Q1,1990,Q1,2514,0,427,2942
1990Q2,1990,Q2,2804,0,423,3228
1990Q3,1990,Q3,3018,0,529,3547
1990Q4,1990,Q4,3722,0,548,4270
1991Q1,1991,Q1,4835,0,600,5436
1991Q2,1991,Q2,5337,0,718,6058
1991Q3,1991,Q3,5523,0,860,6385
1991Q4,1991,Q4,6937,0,824,7761
1992Q1,1992,Q1,8389,0,992,9381
1992Q2,1992,Q2,7791,0,1217,9008
1992Q3,1992,Q3,7506,0,1253,8759
1992Q4,1992,Q4,8420,0,1224,9646
1993Q1,1993,Q1,9435,0,1506,10942
1993Q2,1993,Q2,7394,0,1428,8824
1993Q3,1993,Q3,7172,0,1378,8553
1993Q4,1993,Q4,7015,0,1367,8384
1994Q1,1994,Q1,7415,0,1313,8729
1994Q2,1994,Q2,6588,0,1395,7984
1994Q3,1994,Q3,6140,0,1242,7382
1994Q4,1994,Q4,5491,0,1153,6644
1995Q1,1995,Q1,5609,0,1174,6784
1995Q2,1995,Q2,5838,0,1020,6858
1995Q3,1995,Q3,5279,0,1123,6402
1995Q4,1995,Q4,5207,0,1067,6275
1996Q1,1996,Q1,5862,0,1119,6982
1996Q2,1996,Q2,5443,0,1082,6526
1996Q3,1996,Q3,5446,0,1065,6511
1996Q4,1996,Q4,5052,0,1200,6252
1997Q1,1997,Q1,5117,0,1094,6211
1997Q2,1997,Q2,5278,0,1199,6478
1997Q3,1997,Q3,4958,0,1191,6152
1997Q4,1997,Q4,4539,0,1061,5600
1998Q1,1998,Q1,4938,0,1015,5953
1998Q2,1998,Q2,4755,0,1100,5855
1998Q3,1998,Q3,5113,0,1267,6381
1998Q4,1998,Q4,4841,0,1520,6361
1999Q1,1999,Q1,5799,0,1226,7025
1999Q2,1999,Q2,5527,0,1593,7120
1999Q3,1999,Q3,5365,0,2227,7592
1999Q4,1999,Q4,4920,0,2149,7069
2000Q1,2000,Q1,5667,0,2170,7837
2000Q2,2000,Q2,5414,0,2118,7532
2000Q3,2000,Q3,5451,0,1865,7316
2000Q4,2000,Q4,5018,0,1825,6843
2001Q1,2001,Q1,6078,0,1672,7750
2001Q2,2001,Q2,6115,0,1599,7714
2001Q3,2001,Q3,5817,0,1617,7434
2001Q4,2001,Q4,5467,0,1410,6877
2002Q1,2002,Q1,6027,0,1384,7411
2002Q2,2002,Q2,6269,0,1592,7861
2002Q3,2002,Q3,6249,0,1643,7892
2002Q4,2002,Q4,5747,0,1676,7423
2003Q1,2003,Q1,6912,0,1514,8426
2003Q2,2003,Q2,6948,0,1941,8889
2003Q3,2003,Q3,7221,0,2070,9291
2003Q4,2003,Q4,6940,0,2058,8998
2004Q1,2004,Q1,8524,0,2141,10665
2004Q2,2004,Q2,9060,0,2476,11537
2004Q3,2004,Q3,9315,0,2912,12227
2004Q4,2004,Q4,8999,0,3224,12223
2005Q1,2005,Q1,10188,0,3002,13190
2005Q2,2005,Q2,12338,0,4535,16873
2005Q3,2005,Q3,12256,0,5754,18010
2005Q4,2005,Q4,12509,0,7002,19511
2006Q1,2006,Q1,16283,0,7656,23939
2006Q2,2006,Q2,15489,0,11233,26722
2006Q3,2006,Q3,15418,0,12665,28083
2006Q4,2006,Q4,15766,0,12778,28544
2007Q1,2007,Q1,17937,0,11299,29236
2007Q2,2007,Q2,16489,0,10838,27327
2007Q3,2007,Q3,15600,0,10652,26252
2007Q4,2007,Q4,14454,0,9376,23830
2008Q1,2008,Q1,15814,0,8805,24619
2008Q2,2008,Q2,16373,0,9593,25966
2008Q3,2008,Q3,17237,0,10251,27488
2008Q4,2008,Q4,18004,0,10467,28471
2009Q1,2009,Q1,20446,0,9807,30253
2009Q2,2009,Q2,18870,1978,12225,33073
2009Q3,2009,Q3,18347,4505,12390,35242
2009Q4,2009,Q4,17007,5348,13219,35574
2010Q1,2010,Q1,18256,5644,11782,35682
2010Q2,2010,Q2,14982,6295,13466,34743
2010Q3,2010,Q3,13907,7068,12960,33935
2010Q4,2010,Q4,12028,6172,12485,30685
2011Q1,2011,Q1,12539,6788,10818,30145
2011Q2,2011,Q2,11101,7258,12143,30502
2011Q3,2011,Q3,9578,7604,13048,30230
2011Q4,2011,Q4,8658,7359,13047,29064
2012Q1,2012,Q1,9132,7897,11694,28723
2012Q2,2012,Q2,8092,7956,11346,27394
2012Q3,2012,Q3,7642,7777,12668,28087
2012Q4,2012,Q4,6921,7549,10986,25456
2013Q1,2013,Q1,6673,7219,11124,25016
2013Q2,2013,Q2,6480,7132,12116,25728
2013Q3,2013,Q3,6009,6632,13394,26035
2013Q4,2013,Q4,5409,6563,12333,24305
2014Q1,2014,Q1,5671,6549,12711,24931
