Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
North East,7.178630628,7.309493166,7.894629177,8.614183749,10.63696345,14.92187461,26.60132798,26.70952296,29.13973412,38.4070838,37.98826717,35.35039674,33.33659077,30.64108927
North West,6.564908655,6.807482884,6.93104055,7.594518801,9.462861852,13.95080767,22.49092528,22.82359167,24.49823072,30.22302553,31.48683757,29.16658416,27.69198399,25.58217321
Yorkshire And The Humber,7.961593378,8.601834189,8.597933752,9.333595167,11.14755831,14.90023094,24.22204463,24.33110488,25.92419383,32.49227592,32.56678953,29.46061473,26.92505156,24.64499165
East Midlands,7.680110529,7.964539627,7.491785564,8.043020047,9.695947852,14.95802427,24.21840406,25.53884595,26.94533558,35.23346177,35.76156818,30.56669753,26.92241018,24.39426677
West Midlands,5.885987456,5.976957102,6.523033849,7.588173478,10.09351545,14.68050354,23.84864379,24.29666217,24.28925488,31.41339067,31.35699527,27.38570235,25.13239753,22.98268037
East ,6.338843263,7.196135303,7.138803585,8.514668816,11.32591674,17.44316838,26.93604847,26.27752817,25.40087114,31.71232348,30.20311999,26.271581,23.93580687,22.09144769
London,3.861563914,3.809910714,4.194176812,5.747010581,8.571763053,12.61456938,19.54723487,19.03200911,16.88961418,19.2966321,18.63778936,16.91077955,14.8479376,13.85045369
South East,5.764997222,5.811198168,6.140042525,8.383371799,11.49542455,16.92929194,26.47026167,25.78448461,23.32982871,28.80621051,27.26627417,24.19763527,20.98390587,19.01063564
South West,7.24374851,7.791405516,8.287166654,10.24880182,13.91012687,20.72264327,30.27853549,28.72868176,28.65834712,35.94569888,35.91698014,30.76052686,29.3416112,26.40337722
Wales,6.69042511,6.682011864,7.157978032,7.141965726,8.581070739,11.76399666,20.58662928,21.98522339,23.50404783,31.3785458,32.5628179,28.65104418,26.46571388,24.4718928
